xmin,ymin,xmax,ymax,Text
2,3798,3412
3,3797,3413
4,3798,3413
5,3799,3414
6,3800,3415
7,3800,3416
8,3799,3416
9,3798,3416
10,3797,3416
11,3797,3415
12,3797,3415
13,3797,3414
14,3798,3414
15,3799,3414
16,3800,3414
17,3800,3413
18,3800,3412
19,3799,3412
1,3804,3414
2,3802,3413
3,3801,3415
4,3802,3415
5,3803,3415
6,3803,3416
7,3804,3416
8,3804,3416
9,3803,3417
10,3802,3417
11,3801,3417
12,3800,3416
13,3800,3416
1,3804,3418
2,3807,3415
3,3807,3419
1,3805,3417
2,3807,3417
1,3808,3418
2,3811,3419
1,3813,3420
2,3814,3418
3,3815,3418
4,3816,3419
5,3816,3419
6,3815,3419
7,3813,3419
1,3817,3422
2,3817,3419
3,3818,3422
4,3820,3419
5,3819,3422
1,3823,3421
2,3822,3420
3,3822,3421
4,3821,3422
5,3821,3422
6,3821,3423
7,3822,3423
8,3822,3424
9,3823,3424
10,3823,3423
11,3823,3422
12,3823,3422
13,3823,3421
14,3823,3421
1,3826,3422
2,3825,3422
3,3825,3422
4,3826,3422
5,3827,3423
6,3827,3424
7,3827,3425
8,3827,3425
9,3826,3425
10,3825,3425
11,3824,3424
12,3824,3423
13,3825,3423
14,3826,3423
15,3827,3423
16,3827,3423
17,3827,3422
18,3827,3422
19,3826,3422
1,3829,3422
2,3831,3423
3,3830,3424
4,3830,3424
5,3830,3425
6,3830,3426
7,3830,3426
8,3830,3426
9,3829,3426
10,3828,3426
11,3828,3425
1,3833,3424
2,3835,3425
3,3833,3426
4,3834,3426
5,3834,3426
6,3834,3427
7,3833,3427
8,3833,3427
9,3832,3427
10,3832,3426
1,3786,3404
2,3786,3404
3,3787,3403
4,3786,3406
1,3788,3405
2,3789,3405
3,3790,3405
4,3788,3407
1,3794,3409
2,3795,3406
1,3797,3408
2,3794,3409
1,3795,3409
2,3796,3410
1,3798,3407
2,3798,3411
3,3801,3408
1,3804,3412
2,3805,3409
1,3806,3413
2,3806,3411
1,3806,3412
2,3807,3412
3,3807,3412
4,3808,3412
5,3808,3412
6,3807,3414
1,3814,3412
2,3814,3413
3,3813,3413
4,3813,3414
5,3813,3415
6,3813,3416
7,3814,3416
8,3814,3416
9,3815,3416
10,3816,3416
11,3816,3415
12,3816,3414
13,3816,3413
14,3815,3413
15,3814,3412
1,3816,3418
2,3817,3415
3,3817,3415
4,3818,3415
5,3818,3416
6,3819,3416
7,3819,3416
8,3818,3417
9,3817,3417
10,3817,3417
11,3817,3416
1,3820,3416
2,3822,3417
3,3822,3416
4,3821,3416
5,3820,3416
6,3820,3417
7,3820,3418
8,3821,3419
9,3822,3418
1,3823,3419
2,3823,3417
3,3823,3418
1,3823,3417
2,3824,3417
3,3825,3417
1,3827,3420
2,3828,3419
3,3827,3419
4,3827,3418
5,3827,3418
6,3826,3418
7,3826,3419
8,3826,3419
9,3826,3420
