Polyline,X,Y
11,2285,1793
1,2284,1796
2,2284,1795
3,2284,1795
4,2284,1794
5,2284,1795
6,2283,1795
7,2283,1795
8,2283,1796
9,2283,1796
10,2283,1795
11,2283,1795
12,2283,1794
1,2283,1796
2,2283,1798
3,2284,1798
4,2284,1797
5,2284,1797
6,2283,1797
7,2283,1796
8,2283,1796
9,2283,1797
10,2282,1797
11,2282,1797
12,2282,1798
13,2283,1798
1,2285,1801
2,2282,1801
1,2283,1801
2,2283,1800
3,2283,1800
4,2283,1799
5,2283,1799
6,2282,1799
7,2282,1800
8,2282,1800
9,2282,1801
1,1796,1297
2,1785,1328
3,1722,1309
4,1176,1127
5,693,966
6,585,930
7,443,891
8,425,887
9,353,871
10,281,858
11,267,856
12,194,845
13,121,836
14,106,835
15,33,829
16,23,828
1,917,1095
2,917,1097
3,916,1097
4,915,1096
5,915,1096
6,916,1096
7,917,1096
1,914,1094
2,914,1096
1,912,1096
2,914,1095
1,913,1095
2,913,1094
1,911,1095
2,911,1095
3,911,1093
1,910,1094
2,909,1094
3,909,1095
4,909,1093
1,906,1094
2,907,1094
3,908,1093
4,907,1093
5,906,1093
6,906,1093
7,906,1093
8,906,1092
9,906,1091
10,907,1091
11,908,1091
12,908,1092
13,908,1092
14,908,1093
1,904,1090
2,904,1093
3,905,1092
4,903,1091
1,901,1091
2,902,1091
3,902,1091
4,903,1091
